ps_slug,type,ref,title,date,scope,permalink,image_url
wmcr-vaux-1v-v653-ps-095,PS,V653 / PS - 95,"Looking back from Fort, Wapta Glacier, Yoho Valley, Field B. C. 1906 / Vaux",1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions34193,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1v-v653-ps-095.jpg
wmcr-vaux-1n-v653-na-1477,NA,V653 / NA - 1477,Mt. Richardson 2nd Peak from camp on Little Pipestone (No.92) 1906,1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35090,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1477.jpg
wmcr-vaux-1n-v653-na-1411,NA,V653 / NA - 1411,Mt. Stephen from foot of Wapta Glacier (best) (No.25) 1906,1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35059,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1411.jpg
wmcr-vaux-1n-v653-na-1410,NA,V653 / NA - 1410,Mt. Stephen from foot of Wapta Glacier (No.24) 1906,1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35058,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1410.jpg
wmcr-vaux-1n-v653-na-1438,NA,V653 / NA - 1438,"Old Point Comfort looking toward Illecillewaet Glacier, panorama 1906 (No.52) : [pan 1 of 2]",1906,"Portion of 2-part panorama No.52, 53 : WMCR-V653/NA-1438, 1439 Selkirk Mountains View includes Charles Deutschman standing on promontory",https://archives.whyte.org/en/permalink/descriptions35068,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1438.jpg
wmcr-vaux-1n-v653-na-1439,NA,V653 / NA - 1439,"Old Point Comfort looking toward Illecillewaet Glacier, panorama 1906 (No.53) : [pan 2 of 2]",1906,"Portion of 2-part panorama No.52, 53 : WMCR-V653/NA-1438, 1439 Selkirk Mountains",https://archives.whyte.org/en/permalink/descriptions36628,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1439.jpg
wmcr-vaux-1n-v653-na-1460,NA,V653 / NA - 1460,On the Horseshoe Glacier (No.75) 1906,1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35078,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1460.jpg
wmcr-vaux-1n-v653-na-1461,NA,V653 / NA - 1461,On the Horseshoe Glacier (No.76) 1906,1906,Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36831,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1461.jpg
wmcr-vaux-1n-v653-na-1452,NA,V653 / NA - 1452,Pan from Horseshoe Glacier in Paradise Valley 1906 (No.66?) : [pan 1 of 8],1906,Portion of 8-part panorama No.67 to 73 : WMCR-V653/NA-1452 to 1459 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions35077,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1452.jpg
wmcr-vaux-1n-v653-na-1453,NA,V653 / NA - 1453,Pan from Horseshoe Glacier in Paradise Valley 1906 (No.67?) : [pan 2 of 8],1906,Portion of 8-part panorama No.66? to 73 : WMCR-V653/NA-1452 to 1459 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36631,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1453.jpg
wmcr-vaux-1n-v653-na-1454,NA,V653 / NA - 1454,Pan from Horseshoe Glacier in Paradise Valley 1906 (No.68?) : [pan 3 of 8],1906,Portion of 8-part panorama No.66? to 73 : WMCR-V653/NA-1452 to 1459 Rocky Mountains,https://archives.whyte.org/en/permalink/descriptions36632,https://archives.whyte.org/media/archives/Vaux/wmcr-vaux-1n-v653-na-1454.jpg
